country,sales,orders,users,avg_order_value
United Kingdom,7285024.64,16646,3920,437.64
Netherlands,285446.34,94,9,3036.66
EIRE,265262.46,260,3,1020.24
Germany,228678.4,457,94,500.39
France,208934.31,389,87,537.11
Australia,138453.81,57,9,2429.01
Spain,61558.56,90,30,683.98
Switzerland,56443.95,51,21,1106.74
Belgium,41196.34,98,25,420.37
Sweden,38367.83,36,8,1065.77
Japan,37416.37,19,8,1969.28
Norway,36165.44,36,10,1004.6
Portugal,33375.84,57,19,585.54
Finland,22546.08,41,12,549.9
Singapore,21279.29,7,1,3039.9
Channel Islands,20440.54,26,9,786.17
Denmark,18955.34,18,9,1053.07
Italy,17483.24,38,14,460.09
Cyprus,13502.85,16,8,843.93
Austria,10198.68,17,11,599.92
Poland,7334.65,19,6,386.03
Israel,7215.84,5,3,1443.17
Greece,4760.52,5,4,952.1
Iceland,4310.0,7,1,615.71
Canada,3666.38,6,4,611.06
USA,3580.39,5,4,716.08
Malta,2725.59,5,2,545.12
Unspecified,2660.77,8,4,332.6
United Arab Emirates,1902.28,3,2,634.09
Lebanon,1693.88,1,1,1693.88
Lithuania,1661.06,4,1,415.26
European Community,1300.25,4,1,325.06
Brazil,1143.6,1,1,1143.6
RSA,1002.31,1,1,1002.31
Czech Republic,826.74,2,1,413.37
Bahrain,548.4,2,2,274.2
Saudi Arabia,145.92,1,1,145.92
