dimension_value,share,dimension
United Kingdom,0.897,国家/地区
Germany,0.0297,国家/地区
France,0.0287,国家/地区
Belgium,0.0096,国家/地区
Spain,0.0064,国家/地区
Portugal,0.0042,国家/地区
Norway,0.0032,国家/地区
Finland,0.0032,国家/地区
Sweden,0.0032,国家/地区
Australia,0.0021,国家/地区
Italy,0.0021,国家/地区
Netherlands,0.0021,国家/地区
EIRE,0.0021,国家/地区
Iceland,0.0011,国家/地区
Denmark,0.0011,国家/地区
Switzerland,0.0011,国家/地区
Japan,0.0011,国家/地区
Channel Islands,0.0011,国家/地区
Malta,0.0011,国家/地区
礼品套装,0.4055,偏好品类
其他商品,0.3684,偏好品类
家居装饰,0.1571,偏好品类
厨房餐具,0.0616,偏好品类
收纳用品,0.0064,偏好品类
节日季节,0.0011,偏好品类
